,key,count,u,sd,radio
700,发生,2447,0.8345839017735335,1.549096839468251,0.0035484647488232208
297,公司,2335,0.7963847203274216,3.2346673273078643,0.0033860503426653946
2199,民警,2302,0.7851296043656207,2.1931250413812777,0.003338196097993892
791,记者,2152,0.7339699863574352,2.1685601316650267,0.003120676804032518
31,发现,2144,0.7312414733969986,1.2717102671025078,0.0031090757750212444
2707,孩子,1802,0.6145975443383356,3.592916487480959,0.0026131317847893107
6481,被告人,1777,0.6060709413369714,5.1686766134499145,0.002576878569129082
3214,医院,1754,0.5982264665757162,7.848978484869525,0.002543525610721671
654,情况,1543,0.5262619372442019,1.0803864934065035,0.0022375484705493376
1291,工作,1541,0.5255798090040927,1.4660022618240438,0.0022346482132965194
2200,现场,1524,0.519781718963165,1.1873723899259043,0.0022099960266475636
57,万元,1507,0.5139836289222374,2.2216534171098945,0.0021853438399986077
1988,车辆,1422,0.4849931787175989,1.6292394473772376,0.002062082906753829
2592,人员,1369,0.4669167803547067,1.3402216200501509,0.0019852260895541433
760,警方,1317,0.44918144611186905,1.2794929823721357,0.001909819400980867
4158,驾驶,1290,0.43997271487039563,1.7781295735349838,0.0018706659280678195
822,案件,1289,0.43963165075034105,1.362867902642018,0.0018692157994414104
93,中国,1266,0.43178717598908595,2.4253237092625297,0.0018358628410339998
167,相关,1260,0.4297407912687585,1.1035562883113155,0.0018271620692755447
2397,事故,1253,0.4273533424283765,1.6265334022776312,0.0018170111688906806
793,法院,1245,0.42462482946793995,1.8658193806764207,0.0018054101398794072
2757,犯罪,1170,0.3990450204638472,1.6303412037262401,0.0016966504928987202
794,调查,1154,0.3935879945429741,0.8991865567542033,0.0016734484348761736
2177,男子,1076,0.3669849931787176,1.3526612394157926,0.001560338402016259
1357,时间,1055,0.35982264665757163,0.8834885653641358,0.0015298857008616664
2594,嫌疑人,1032,0.3519781718963165,1.2663152719270763,0.0014965327424542557
457,信息,1022,0.3485675306957708,1.3308437182755426,0.001482031456190164
2668,依法,1016,0.34652114597544337,1.1759452190998008,0.0014733306844317091
509,有限公司,961,0.327762619372442,2.366119440944174,0.0013935736099792051
937,手机,930,0.3171896316507503,1.7912078132960991,0.001348619622560521
1119,公安局,845,0.2881991814461119,1.324497481741207,0.0012253586893157422
2956,责任,844,0.2878581173260573,1.7961374909265657,0.0012239085606893332
1986,处罚,833,0.284106412005457,1.5627040655656674,0.0012079571457988324
1009,一名,824,0.2810368349249659,0.6901552989241901,0.00119490598816115
820,被告,821,0.28001364256480216,3.4434354574110606,0.0011905556022819225
2192,司机,805,0.27455661664392905,1.4013819214031222,0.0011673535442593757
491,提供,798,0.27216916780354705,0.9429410645628411,0.0011572026438745116
1764,视频,788,0.26875852660300137,1.097486157943001,0.00114270135761042
1595,部门,784,0.2673942701227831,0.7565349994781972,0.0011369008431047834
1214,组织,781,0.26637107776261937,1.5777361468495072,0.001132550457225556
1940,死亡,773,0.2636425648021828,1.0442883952017838,0.0011209494282142826
1911,报警,772,0.26330150068212826,0.8369390532389489,0.0011194992995878735
324,法律,757,0.2581855388813097,1.0971206219631242,0.001097747370191736
55,企业,756,0.2578444747612551,1.1724955328001352,0.0010962972415653268
30,网友,752,0.25648021828103684,2.098391290283534,0.0010904967270596903
827,国家,744,0.25375170532060026,1.147283981591095,0.0010788956980484169
2622,交警,742,0.25306957708049116,1.0517873684610572,0.0010759954407955985
3260,派出所,739,0.2520463847203274,1.1035631051984987,0.0010716450549163711
2298,赔偿,738,0.25170532060027284,1.5599368963616225,0.0010701949262899618
1947,一辆,734,0.2503410641200546,0.7210209562422258,0.0010643944117843254
3125,违法,733,0.25,1.1352984744963435,0.001062944283157916
362,非法,732,0.24965893587994542,1.3675791880003716,0.001061494154531507
158,社会,731,0.24931787175989087,0.9256198256161172,0.0010600440259050977
1038,电话,730,0.2489768076398363,0.8619760164258139,0.0010585938972786887
802,过程,723,0.2465893587994543,0.9769729929446205,0.0010484429968938246
487,诈骗,718,0.24488403819918145,2.5618316218272894,0.0010411923537617786
376,网络,714,0.24351978171896316,1.0163687945163187,0.001035391839256142
381,生活,712,0.24283765347885403,0.8615581139015985,0.0010324915820033238
396,事情,690,0.23533424283765347,0.8704017479701087,0.0010005887522223221
2392,导致,690,0.23533424283765347,0.6657696966953554,0.0010005887522223221
135,微信,689,0.23499317871759892,1.0503857531536196,0.0009991386235959129
1121,工作人员,665,0.2268076398362892,0.9163920888893972,0.000964335536562093
3393,原告,662,0.2257844474761255,2.635226634392801,0.0009599851506828656
717,判决,655,0.22339699863574353,1.1721279391923354,0.0009498342502980014
227,检查,655,0.22339699863574353,0.940245142255346,0.0009498342502980014
374,来源,654,0.22305593451568895,0.5780656375328735,0.0009483841216715923
154,购买,650,0.22169167803547066,1.6418705086115228,0.0009425836071659556
874,方式,641,0.21862210095497953,0.9144060653054364,0.0009295324495282732
417,小区,641,0.21862210095497953,1.441241789581867,0.0009295324495282732
451,告诉,637,0.21725784447476126,0.7609634044900003,0.0009237319350226365
784,原因,637,0.21725784447476126,0.6437037726103242,0.0009237319350226365
76,承担,637,0.21725784447476126,1.538867265408547,0.0009237319350226365
3854,学生,634,0.21623465211459755,1.435980764377887,0.0009193815491434091
1491,影响,633,0.21589358799454297,0.6166540066679886,0.0009179314205169999
903,证据,628,0.21418826739427013,1.0726076829364457,0.000910680777384954
644,事件,625,0.21316507503410642,1.0241098100900874,0.0009063303915057266
