,key,count
41,男子,287
179,发生,133
158,女子,102
648,司机,82
289,医院,82
401,投诉,81
1423,突发,80
716,交警,79
15,曝光,71
38,诈骗,64
134,中国,64
214,死亡,64
1419,火灾,61
636,警方,61
523,手机,56
198,孩子,54
323,身亡,53
37,涉嫌,52
647,货车,52
634,事故,48
336,万元,48
3064,起火,45
39,非法,44
1318,公司,44
1715,现场,43
1219,驾驶,42
885,警察,42
118,视频,41
1937,车祸,41
1880,网友,41
1828,高速,40
440,小区,39
461,严重,38
1022,一审,37
85,一个,37
155,举报,36
766,黑心,36
182,事件,35
165,垃圾,35
402,竟然,34
129,美国,34
338,获刑,34
1521,受伤,33
484,这个,32
864,有限公司,32
274,民警,32
646,交通事故,31
2446,车主,31
242,发现,30
1409,无证,30
986,一起,30
714,判决书,30
288,老人,30
3638,地震,29
1362,丈夫,29
965,村民,29
610,问题,29
392,学生,28
152,新闻网,28
215,新闻,28
687,盗窃,28
245,报警,28
804,车辆,27
1967,骗子,27
812,自己,27
339,开车,27
51,纠纷,27
633,相撞,26
909,抓获,26
1437,百度,26
674,突然,26
1110,受贿,26
719,被判,26
49,法院,25
88,平台,25
1086,小伙,25
617,资讯,24
1345,大火,24
47,北京,24
713,刑事,24
891,通报,24
2707,利用,24
1587,结果,24
858,小时,23
521,调查,23
271,广西,23
1897,河南,23
850,主题,23
562,刑拘,23
519,违法,23
482,女孩,23
263,赔偿,22
1011,暴力,22
1508,妻子,22
855,逃逸,22
836,拘留,22
677,有人,22
1413,电动车,22
1458,醉酒,21
365,嫌疑人,21
1115,团伙,21
191,没有,21
247,南京,21
1057,这样,21
525,网络,20
831,母亲,20
62,搜狐,20
212,爆炸,20
5934,在线,19
1006,老师,19
2980,侵吞,19
1733,酒驾,19
324,江苏,19
1456,深圳,19
483,因为,18
3766,出租车,18
173,违规,18
237,儿子,18
2144,合同纠纷,18
4135,倒塌,18
465,女友,18
386,移动,18
1398,遭遇,18
1134,追尾,18
281,查处,18
120,执法,18
530,上海,18
1002,网易,18
330,信息,18
1869,当场,18
1081,原因,17
1145,冒充,17
254,城管,17
1418,引发,17
4309,轿车,17
698,落网,17
758,老板,17
951,罚款,17
52,案件,17
770,传销,17
1343,造成,17
980,网上,17
915,打人,16
4653,父亲,16
1083,失踪,16
2499,公安,16
581,湖南,16
296,酒后,16
3299,干部,16
4177,郑州,16
1127,被困,16
2151,医生,16
5411,骗取,16
908,肇事,16
261,起诉,16
3326,超载,16
132,危险,16
2037,竟是,16
2752,作为,16
1177,犯罪,16
699,一名,16
486,判刑,16
251,居民,16
712,二审,16
492,宣判,16
1495,一辆,16
1916,广东,16
2207,妈妈,15
1118,驾车,15
1125,浙江,15
798,夫妻,15
1460,失控,15
3763,交通,15
692,员工,15
143,日本,15
106,知道,15
1492,游客,15
1151,转载,15
637,破获,15
61,出来,15
145,真相,15
927,自燃,15
632,两车,15
926,凌晨,15
1196,患者,15
897,案例,15
471,被查,15
2126,民事,15
1,领导,15
284,食品,15
2769,醉驾,15
326,女儿,14
4056,导致,14
3213,多次,14
506,自杀,14
452,被盗,14
4194,为了,14
314,辱骂,14
551,拆迁,14
2720,处理,14
731,房子,14
2328,河北,14
1778,家长,14
1433,律师,14
1020,组织,14
108,还是,14
102,不能,14
1048,女童,14
958,执行,14
100,教育,14
1126,一人,14
7049,坠楼,14
1501,逆行,14
43,一夜,14
2254,深夜,14
1457,汽车,14
1440,企业,14
122,出现,14
1301,生活,14
1313,多人,14
835,依法,14
463,撞死,13
588,影响,13
3228,事发,13
450,朋友,13
311,父母,13
586,腐败,13
3075,科技,13
701,他人,13
171,西安,13
922,苏州,13
806,碾压,13
621,损失,13
389,江西,13
1911,虚假,13
1281,被捕,13
78,无法,13
3227,套路,13
67,背后,13
756,疑似,13
1448,集团,13
3735,操作,13
873,主任,13
841,典型,13
12,这么,13
1641,一家,13
479,维权,12
640,涉案,12
1810,贪污,12
3955,摩托,12
490,走私,12
1260,宣传,12
1049,提醒,12
320,同学,12
1783,贵州,12
3040,查获,12
92,就是,12
1483,弟弟,12
59,注意,12
575,新浪,12
1712,家中,12
84,搜狐网,12
524,中毒,12
2894,重庆,12
368,吸毒,12
3291,威胁,12
3421,这种,12
2416,附近,12
2261,拒绝,12
2757,小车,12
2536,对方,12
2711,至少,12
2713,惨烈,12
2153,发布,12
2179,酒店,12
2384,枪击,12
2449,某某,12
918,女生,12
207,驾驶员,12
241,电话,12
2614,什么,12
2193,职务,12
2419,浓烟滚滚,12
2527,民事裁定,12
1505,快递,11
1480,悲剧,11
503,合肥,11
235,香港,11
737,百姓,11
733,公安局,11
1527,记者,11
1538,恶意,11
66,落马,11
1119,碰瓷,11
2211,宝马,11
321,男孩,11
180,持刀,11
2846,这家,11
7463,过期,11
1330,道路,11
4947,抗议,11
1288,殴打,11
3876,工作,11
4057,四川,11
1325,紧急,11
3801,物业,11
421,街头,11
843,警惕,11
4130,揭阳,11
1400,飞机,11
448,半年,11
380,儿童,11
1207,处罚,11
1204,污染,11
2302,直接,11
222,官员,11
1666,索赔,11
381,意外,11
615,陕西,11
3010,钱财,11
1952,道德,11
709,运输,11
248,市民,11
300,我们,11
688,摩托车,11
2054,苹果,11
605,造假,11
1059,社会,11
824,杀人,11
1940,山西,11
4234,要求,11
91,服务,11
3104,台湾,11
6106,滥用职权,11
2124,机动车,11
89,购买,11
1050,作案,11
2125,责任,11
121,为何,11
2190,门口,11
1968,坑人,11
676,小心,11
2928,美女,11
1384,一对,10
427,部门,10
3267,实名,10
2490,惨遭,10
625,批捕,10
1798,家属,10
2347,整治,10
1806,他们,10
1950,长沙,10
1000,男友,10
994,媒体,10
825,少年,10
3826,房屋,10
2567,超市,10
934,市场,10
2659,监控,10
893,建设,10
1077,今天,10
1899,家人,10
3205,幼儿园,10
2701,着火,10
2686,这些,10
3091,业主,10
3344,公里,10
1497,乘客,10
919,围殴,10
917,学校,10
2627,怎么,10
1472,真的,10
2576,可能,10
1068,微信,10
3063,居民楼,10
1182,还有,10
3231,面包车,10
1584,老婆,10
1271,嫌犯,10
4476,超员,10
4161,疯狂,10
359,银行,10
6645,包庇,10
7056,直通车,10
1028,公款,9
2654,瞬间,9
7057,华声,9
901,两起,9
6646,暗箱,9
705,入室,9
1726,上演,9
1067,特大,9
2088,专家,9
3301,检查,9
684,安康,9
2802,伤者,9
1312,余万,9
2208,找到,9
416,一年,9
1391,以为,9
1368,当街,9
71,两年,9
2330,局长,9
5107,致死,9
2454,赌博,9
4131,厂房,9
800,双双,9
1228,人民,9
2488,内蒙古,9
9,广告,9
2498,偷偷,9
1652,成都,9
1128,消防,9
4673,不幸身亡,9
767,商家,9
1760,成功,9
4425,有关,9
2807,经营,9
3186,怀孕,9
403,回应,9
2965,交易,9
4062,可怕,9
4310,喝酒,9
1285,投资,9
1803,广州,9
1263,山东,9
1837,连续,9
1289,杭州,9
283,超标,9
564,安全,9
557,不是,9
27,南通,9
411,浦口,9
269,法官,9
101,废品,9
1466,法国,9
3193,桂林,8
2565,石家庄,8
623,万余元,8
4133,大楼,8
790,汉中,8
213,致人,8
4322,已致,8
2460,泄露,8
1201,博客,8
347,公开,8
1424,大连,8
596,渭南,8
3070,地方,8
65,书记,8
3210,保护,8
626,情况,8
627,公布,8
2762,上路,8
7323,冲突,8
1487,路口,8
273,猝死,8
1213,关注,8
3481,幌子,8
1208,社区,8
1216,案一审,8
7294,私吞,8
2895,扶贫,8
7173,袭警,8
1417,焚烧,8
34,国际,8
4529,公交车,8
720,死刑,8
2702,消防车,8
1513,华律,8
3377,潜逃,8
736,居然,8
2809,环卫工,8
744,电信,8
820,敛财,8
2415,机场,8
1299,内幕,8
866,大家,8
413,扰民,8
1713,通过,8
1970,乱收费,8
6655,打着,8
1051,男童,8
881,政府,8
354,买卖,8
2209,护栏,8
6522,挪用,8
3828,福建,8
5301,强奸,8
1251,男生,8
4085,失火,8
3641,公民,8
404,路边,8
181,袭击,8
1895,真是,8
949,国家,8
2082,消费,8
1883,电梯,8
1800,厦门,8
1720,惊险,8
6554,血汗钱,8
1830,半夜,8
1602,进行,8
1746,已有,8
3546,管理,8
5178,纪委,8
2340,不满,8
1757,重伤,7
1949,为什么,7
1170,首例,7
675,信号,7
1948,瞒报,7
1771,滑坡,7
2821,东西,7
2812,不敢,7
641,金额,7
1589,中华,7
639,诈骗案,7
2957,云南,7
4243,校车,7
1818,到底,7
4250,人数,7
1819,欺骗,7
3045,一车,7
1030,巨额,7
1809,村干部,7
1004,第一,7
1898,洛阳,7
32,爆料,7
123,娱乐,7
1792,教师,7
127,官方,7
984,还要,7
1933,联合,7
628,今早,7
1754,火车,7
977,人民检察院,7
1453,财经,7
1717,凶手,7
4417,百万,7
1123,多地,7
774,骗局,7
218,乱象,7
2530,工程,7
2515,煤矿,7
2247,至今,7
2253,频道,7
863,传播,7
1632,凤凰网,7
1621,女人,7
933,综合,7
1574,现金,7
1617,东方,7
1577,小偷,7
854,撞伤,7
847,收废,7
1103,部分,7
3097,支付,7
2395,消防通道,7
2227,大道,7
2222,逃跑,7
1553,大学生,7
1547,杀人案,7
2732,资金,7
6591,坑害,7
2717,人员,7
2389,恶势力,7
6603,收受,7
921,耳光,7
710,制造,7
154,大桥,7
7106,深度,7
2152,性侵,7
1085,求助,7
4573,车子,7
734,立案,7
735,怎么办,7
5370,廊坊,7
2189,赶紧,7
169,奇葩,7
25,恶劣,7
4930,消费者,7
4078,天气,7
3308,千万,7
366,抢劫,7
1292,嚣张,7
3439,余万元,7
570,爆发,7
3396,民宅,7
1247,一大,7
417,停车,7
21,夜间,7
14,央视,7
3423,两人,7
472,公交,7
309,看到,7
539,持续,7
1309,免费,7
3655,多万,7
1256,打架,7
561,教练,7
560,撞死人,7
1255,直播,7
1324,使用,7
310,及时,7
3566,暴雨,7
485,两次,7
526,病毒,7
1401,游戏,7
4016,遇难,7
4014,不慎,7
348,财产,7
509,公诉,7
