,key,count,u,sd,radio
25,工作,1774,2.3219895287958114,4.386706752034367,0.00823262980082048
382,建设,989,1.294502617801047,3.2608955023222577,0.004589667910378497
255,发展,987,1.2918848167539267,3.149014465705299,0.004580386478810492
161,活动,813,1.0641361256544504,2.3822686935856345,0.0037729019323940525
562,服务,793,1.037958115183246,3.017594282846987,0.0036800876167140018
563,群众,654,0.856020942408377,2.1621430206723167,0.003035028122737651
37,企业,631,0.8259162303664922,3.040914006640968,0.002928291659705593
689,中国,623,0.8154450261780105,3.01754624420138,0.002891165933433573
107,项目,503,0.6583769633507853,3.0738841041485045,0.00233428003935327
538,公司,485,0.6348167539267016,2.8872339982987603,0.0022507471552412244
1764,推进,447,0.5850785340314136,1.6545601468639826,0.0020743999554491284
2035,社区,439,0.574607329842932,3.6505073638198056,0.0020372742291771082
69,民警,437,0.5719895287958116,1.9091882646412872,0.002027992797609103
2491,产业,432,0.5654450261780105,2.151484669691273,0.0020047892186890906
87,社会,426,0.5575916230366492,1.5533771978921342,0.0019769449239850755
962,生活,414,0.5418848167539267,1.312734151080865,0.0019212563345770452
359,组织,402,0.5261780104712042,0.9811042443652385,0.0018655677451690149
2024,创新,393,0.5143979057591623,2.1658217600429386,0.001823801303112992
445,现场,382,0.5,1.014457015673515,0.0017727534294889643
209,情况,377,0.49345549738219896,0.9090057679791643,0.0017495498505689518
1636,旅游,376,0.49214659685863876,5.087644079599063,0.0017449091347849493
1765,提升,375,0.4908376963350785,1.1191809298322588,0.0017402684190009467
222,教育,371,0.4856020942408377,1.7161686523602004,0.0017217055558649366
633,记者,366,0.4790575916230366,1.1396274925639935,0.0016985019769449239
3808,老人,363,0.47513089005235604,2.2847328422454756,0.0016845798295929163
1779,管理,360,0.4712041884816754,1.2300952339105626,0.0016706576822409088
988,脱贫,357,0.46727748691099474,2.3258872322161066,0.0016567355348889013
804,提供,357,0.46727748691099474,1.0105206600168937,0.0016567355348889013
360,人员,347,0.45418848167539266,1.1808210982846443,0.0016103283770488761
1738,学生,345,0.45157068062827227,2.2239019235965363,0.001601046945480871
476,全国,343,0.4489528795811518,1.4592337440748795,0.001591765513912866
1856,学习,338,0.4424083769633508,1.2865235769972916,0.0015685619349928533
800,平台,332,0.43455497382198954,1.8545082843934007,0.001540717640288838
832,中心,328,0.4293193717277487,1.3369718120072174,0.0015221547771528282
